combination,trials_ok
"902.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"902.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"902.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 12/20"
"902.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"902.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 16/20"
"902.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 3/20"
"902.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 19/20"
"902.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 20/20"
"902.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"902.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 4/20"
"902.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 17/18"
"902.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 20/20"
"903.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"903.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"903.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 15/20"
"903.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"903.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 20/20"
"903.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 14/20"
"903.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"903.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 19/20"
"903.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 18/19"
"903.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 0/19"
"903.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 19/20"
"903.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 15/17"
"903.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 7/20"
"903.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"903.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 8/20"
"903.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 2/20"
"903.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 19/20"
"903.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 13/20"
"903.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"903.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 20/20"
"903.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 17/20"
"903.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 15/20"
"903.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 19/19"
"903.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 19/19"
"904.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"904.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"904.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"904.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"904.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"904.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/19"
"904.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 7/20"
"904.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 2/20"
"904.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 15/20"
"904.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 1/20"
"904.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 19/20"
"904.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 19/19"
"904.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"904.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"904.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 7/20"
"904.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"904.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 16/20"
"904.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 12/20"
"904.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 17/20"
"904.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 20/20"
"904.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 19/20"
"904.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 20/20"
"904.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 17/19"
"904.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 16/16"
"905.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 1/20"
"905.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"905.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 14/20"
"905.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"905.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"905.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 12/20"
"905.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 20/20"
"905.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 19/20"
"905.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 19/20"
"905.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 20/20"
"905.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 20/20"
"905.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 15/19"
"905.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"905.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/19"
"905.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"905.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"905.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 12/20"
"905.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 3/20"
"905.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"905.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 19/20"
"905.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"905.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 18/20"
"905.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 18/19"
"905.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 18/18"
"906.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"906.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"906.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 2/20"
