combination,trials_ok
"902.600 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 18/40"
"902.600 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/40"
"902.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 35/40"
"902.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 33/40"
"902.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 14/40"
"902.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/40"
"902.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 39/40"
"902.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 7/40"
"902.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 27/40"
"902.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 8/40"
"902.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 24/40"
"902.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 17/40"
"902.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 27/40"
"902.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/40"
"902.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 38/40"
"902.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 9/40"
"903.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 22/40"
"903.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/40"
"903.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 38/40"
"903.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 35/40"
"903.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 38/40"
"903.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 31/40"
"903.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 39/40"
"903.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 34/40"
"903.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 31/40"
"903.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 11/40"
"903.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 39/40"
"903.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 38/40"
"903.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 34/40"
"903.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 2/40"
"903.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 39/40"
"903.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 17/40"
"903.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 5/40"
"903.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/40"
"903.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 36/40"
"903.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 36/40"
"906.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 27/40"
"906.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 8/40"
"906.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 35/40"
"906.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 18/40"
"906.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 35/40"
"906.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/39"
"906.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 32/40"
"906.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 4/40"
"906.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 29/40"
"906.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 17/39"
"906.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 35/40"
"906.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 7/40"
"906.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 35/40"
"906.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 17/40"
"906.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 39/40"
"906.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 14/40"
