combination,trials_ok
"909.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 58/60"
"909.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 32/60"
"909.050 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 55/60"
"909.050 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 51/60"
"909.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 55/60"
"909.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 49/60"
"909.150 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 60/60"
"909.150 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 31/60"
"909.200 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 59/60"
"909.200 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 10/60"
"909.250 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 58/60"
"909.250 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 1/60"
"909.300 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 56/60"
"909.300 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 2/59"
"909.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 56/60"
"909.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 14/60"
"909.400 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 58/60"
"909.400 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 14/60"
"909.450 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 52/60"
"909.450 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 55/60"
"909.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 54/60"
"909.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 21/60"
"909.550 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 52/60"
"909.550 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 17/60"
"909.600 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 57/60"
"909.600 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 37/60"
"909.650 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 55/60"
"909.650 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 60/60"
"909.700 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 53/60"
"909.700 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 43/60"
"909.750 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 58/60"
"909.750 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 56/60"
