combination,trials_ok
"909.450 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 95/100"
"909.450 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 2/100"
"909.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 93/100"
"909.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 66/100"
"909.550 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 90/100"
"909.550 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 44/100"
"909.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 90/100"
"909.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 96/100"
"909.650 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 87/100"
"909.650 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 45/100"
"909.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 82/100"
"909.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 95/100"
"909.750 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 87/100"
"909.750 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 12/100"
