combination,trials_ok
"909.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 59/60"
"909.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 56/60"
"926.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 53/60"
"926.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 60/60"
"926.050 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 53/60"
"926.050 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 58/60"
"916.900 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 50/60"
"916.900 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 22/60"
"916.850 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 50/60"
"916.850 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 17/60"
"916.750 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 37/60"
"916.750 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 32/60"
"916.650 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 51/60"
"916.650 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 57/60"
"916.600 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 48/60"
"916.600 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 19/60"
"916.550 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 54/60"
"916.550 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 52/60"
"916.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 49/60"
"916.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 0/60"
