combination,trials_ok
"910.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 13/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 46/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 16/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 48/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 23/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 47/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 47/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 4/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 47/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 50/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 43/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 49/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 42/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 50/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 42/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 50/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 44/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 46/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 38/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 48/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 44/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 47/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 46/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 48/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 45/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 42/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 41/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 45/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 46/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 6/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 46/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 34/50"
